ID,shape,outlierType,outlierPosition,choice,success,rt,majorityOfMostRegularShapes,rot1,rot2,rot3,rot4,rot5,rot6,dil1,dil2,dil3,dil4,dil5,dil6,usedTouchscreen,population,age,classe
ARIELLE,isoTrapezoid,0,3,5,0,2027,True,6,4,2,3,5,1,5,4,3,6,2,1,True,baboons,,
ARIELLE,isoTrapezoid,3,0,3,0,4359,True,6,3,1,2,5,4,4,3,6,1,5,2,True,baboons,,
ARIELLE,kite,2,5,5,1,930,True,2,6,5,1,4,3,4,3,2,6,1,5,True,baboons,,
ARIELLE,trapezoid,1,0,5,0,4949,False,1,4,6,5,3,2,6,3,4,2,1,5,True,baboons,,
ARIELLE,rectangle,0,0,0,1,3602,False,2,6,3,1,5,4,6,5,1,4,2,3,True,baboons,,
ARIELLE,random,1,0,3,0,1898,False,1,2,3,4,6,5,4,5,6,1,2,3,True,baboons,,
ARIELLE,parallelogram,3,2,3,0,3621,True,1,5,6,4,2,3,1,6,2,4,5,3,True,baboons,,
ARIELLE,isoTrapezoid,3,4,3,0,1219,False,5,6,4,1,2,3,5,2,6,4,3,1,True,baboons,,
ARIELLE,losange,3,2,5,0,3156,True,3,2,4,1,5,6,2,5,6,4,1,3,True,baboons,,
ARIELLE,rightKite,2,4,4,1,730,True,5,2,3,6,1,4,5,4,3,2,1,6,True,baboons,,
ARIELLE,parallelogram,0,3,2,0,2359,True,2,5,6,1,4,3,1,5,4,2,6,3,True,baboons,,
ARIELLE,parallelogram,0,3,5,0,2930,False,1,2,4,3,5,6,4,6,3,5,1,2,True,baboons,,
ARIELLE,losange,2,1,2,0,3402,True,2,3,6,5,4,1,3,4,1,2,5,6,True,baboons,,
ARIELLE,isoTrapezoid,0,0,0,1,1250,False,1,2,4,3,5,6,1,6,2,5,4,3,True,baboons,,
ARIELLE,hinge,0,3,3,1,3133,True,1,4,3,5,6,2,1,5,2,3,4,6,True,baboons,,
ARIELLE,square,0,3,3,1,1219,False,2,5,1,4,6,3,1,3,6,5,4,2,True,baboons,,
ARIELLE,hinge,2,0,3,0,3578,False,2,5,1,6,4,3,4,3,6,1,5,2,True,baboons,,
ARIELLE,losange,0,0,0,1,1418,True,2,5,3,4,6,1,5,6,3,2,4,1,True,baboons,,
ARIELLE,trapezoid,3,4,0,0,2492,False,6,3,4,1,2,5,2,3,5,1,4,6,True,baboons,,
ARIELLE,rectangle,1,0,5,0,1309,False,2,3,4,5,1,6,4,1,2,3,6,5,True,baboons,,
ARIELLE,square,1,5,2,0,2309,True,4,1,6,3,5,2,6,3,2,4,5,1,True,baboons,,
ARIELLE,parallelogram,3,1,0,0,2539,False,6,1,4,3,2,5,3,4,2,1,5,6,True,baboons,,
ARIELLE,rustedHinge,3,1,1,1,4500,False,5,4,3,2,1,6,1,5,3,4,6,2,True,baboons,,
ARIELLE,trapezoid,1,0,5,0,3809,True,6,4,5,2,3,1,4,5,6,1,3,2,True,baboons,,
ARIELLE,square,3,4,0,0,1672,False,5,3,4,1,2,6,3,5,4,2,6,1,True,baboons,,
ARIELLE,rustedHinge,2,5,5,1,961,True,2,6,4,3,1,5,2,1,6,5,3,4,True,baboons,,
ARIELLE,losange,3,3,4,0,2543,False,2,1,5,6,3,4,2,5,4,6,1,3,True,baboons,,
ARIELLE,square,0,4,1,0,2340,True,5,1,3,2,6,4,4,5,2,6,3,1,True,baboons,,
ARIELLE,kite,3,0,0,1,1191,False,2,6,5,1,3,4,3,1,5,2,6,4,True,baboons,,
ARIELLE,rustedHinge,0,4,5,0,3840,False,5,2,6,3,4,1,2,1,6,3,5,4,True,baboons,,
ARIELLE,hinge,1,4,0,0,2270,True,6,3,1,4,5,2,1,2,6,4,5,3,True,baboons,,
ARIELLE,rectangle,3,1,5,0,2562,True,5,2,3,6,4,1,2,4,6,1,3,5,True,baboons,,
ARIELLE,trapezoid,2,3,4,0,4340,True,4,5,3,2,1,6,1,6,5,4,2,3,True,baboons,,
ARIELLE,kite,0,1,5,0,1219,True,2,5,6,3,4,1,1,4,2,3,5,6,True,baboons,,
ARIELLE,kite,2,5,5,1,2332,False,6,4,1,2,5,3,4,2,3,6,1,5,True,baboons,,
ARIELLE,kite,3,1,3,0,2297,True,4,3,1,6,2,5,5,2,1,6,3,4,True,baboons,,
ARIELLE,rectangle,2,3,3,1,2250,False,4,5,3,6,1,2,5,6,3,2,1,4,True,baboons,,
ARIELLE,parallelogram,2,5,5,1,2469,True,3,6,5,4,1,2,2,4,6,3,5,1,True,baboons,,
ARIELLE,parallelogram,1,1,4,0,3371,False,6,2,4,3,1,5,4,1,6,5,2,3,True,baboons,,
ARIELLE,hinge,0,1,0,0,3328,False,3,4,5,1,2,6,3,5,1,2,6,4,True,baboons,,
ARIELLE,rightKite,1,5,5,1,973,False,3,4,5,2,6,1,6,3,1,4,2,5,True,baboons,,
ARIELLE,isoTrapezoid,1,4,4,1,750,True,1,2,5,3,4,6,6,4,3,2,5,1,True,baboons,,
ARIELLE,trapezoid,0,2,1,0,1473,True,6,1,3,5,4,2,6,4,2,3,1,5,True,baboons,,
ARIELLE,rightKite,0,4,0,0,1312,True,1,3,2,6,5,4,5,2,1,6,3,4,True,baboons,,
ARIELLE,rectangle,2,1,1,1,1488,True,2,4,3,5,1,6,4,6,5,1,3,2,True,baboons,,
ARIELLE,parallelogram,1,5,4,0,3191,True,2,3,4,1,5,6,4,5,2,3,1,6,True,baboons,,
ARIELLE,rustedHinge,3,5,2,0,1891,True,4,6,1,3,2,5,4,3,2,1,5,6,True,baboons,,
ARIELLE,rustedHinge,1,5,3,0,2359,True,3,1,2,6,5,4,4,3,6,1,5,2,True,baboons,,
ARIELLE,hinge,2,4,4,1,770,True,6,1,4,2,3,5,2,6,3,5,4,1,True,baboons,,
ARIELLE,losange,0,0,5,0,3332,False,1,3,5,4,2,6,4,5,6,2,3,1,True,baboons,,
ARIELLE,trapezoid,2,4,4,1,4051,False,2,5,6,4,1,3,3,4,2,6,1,5,True,baboons,,
ARIELLE,losange,1,0,0,1,1922,True,1,4,2,6,5,3,1,6,5,2,4,3,True,baboons,,
ARIELLE,rightKite,1,3,3,1,2953,True,5,4,1,6,3,2,2,3,6,1,4,5,True,baboons,,
ARIELLE,square,2,3,3,1,1559,False,1,2,4,5,6,3,4,6,5,3,1,2,True,baboons,,
ARIELLE,random,2,2,4,0,4590,False,4,3,6,2,1,5,2,1,4,5,6,3,True,baboons,,
ARIELLE,hinge,3,2,4,0,938,True,1,4,6,3,2,5,4,1,6,3,2,5,True,baboons,,
ARIELLE,rightKite,2,0,3,0,2090,False,1,4,5,6,2,3,1,5,2,4,6,3,True,baboons,,
ARIELLE,rightKite,3,2,1,0,4438,True,4,2,6,1,3,5,3,5,4,1,2,6,True,baboons,,
ARIELLE,rustedHinge,2,3,3,1,3617,False,5,6,2,4,1,3,3,2,4,6,1,5,True,baboons,,
ARIELLE,kite,1,0,0,1,3562,True,1,6,2,4,5,3,3,5,2,4,6,1,True,baboons,,
ARIELLE,rustedHinge,1,2,4,0,3598,False,2,5,1,4,6,3,1,3,4,2,5,6,True,baboons,,
ARIELLE,random,0,1,1,1,1879,False,5,1,4,3,2,6,3,4,1,6,5,2,True,baboons,,
ARIELLE,rustedHinge,0,5,5,1,1031,True,3,1,4,5,2,6,3,4,6,5,2,1,True,baboons,,
ARIELLE,trapezoid,3,1,3,0,1859,True,5,6,1,2,3,4,1,3,2,6,4,5,True,baboons,,
ARIELLE,rectangle,3,5,5,1,1391,False,2,5,1,6,3,4,4,6,3,2,1,5,True,baboons,,
ARIELLE,isoTrapezoid,2,1,4,0,4109,True,4,6,1,3,5,2,4,3,5,1,6,2,True,baboons,,
ARIELLE,hinge,1,3,3,1,1828,False,1,2,4,5,3,6,3,5,1,4,2,6,True,baboons,,
ARIELLE,random,3,0,0,1,1223,True,1,5,3,4,6,2,1,6,2,5,4,3,True,baboons,,
ARIELLE,kite,1,5,0,0,3898,False,6,1,4,5,3,2,6,1,3,5,2,4,True,baboons,,
ARIELLE,isoTrapezoid,1,5,2,0,2352,False,4,5,1,2,3,6,3,5,6,1,2,4,True,baboons,,
ARIELLE,trapezoid,0,1,5,0,3000,False,4,5,3,6,1,2,2,6,4,3,5,1,True,baboons,,
ARIELLE,isoTrapezoid,2,4,0,0,3652,False,6,4,5,3,2,1,6,2,5,1,4,3,True,baboons,,
ARIELLE,rectangle,1,3,2,0,2621,True,4,3,1,5,6,2,5,1,4,2,3,6,True,baboons,,
ARIELLE,random,3,4,3,0,3109,False,4,2,3,1,6,5,4,5,1,6,2,3,True,baboons,,
ARIELLE,rightKite,3,1,4,0,3867,False,6,3,4,5,2,1,5,6,4,2,3,1,True,baboons,,
ARIELLE,square,2,2,2,1,1289,True,4,2,6,5,1,3,4,2,3,6,5,1,True,baboons,,
ARIELLE,random,2,2,1,0,2270,True,1,6,3,4,5,2,2,1,4,3,6,5,True,baboons,,
ARIELLE,square,1,2,5,0,3633,False,5,6,4,3,2,1,3,2,5,4,6,1,True,baboons,,
ARIELLE,kite,0,4,0,0,2812,False,3,2,6,1,4,5,6,3,5,1,4,2,True,baboons,,
ARIELLE,hinge,3,2,4,0,1918,False,2,5,4,3,1,6,2,1,6,5,4,3,True,baboons,,
ARIELLE,random,0,3,5,0,1473,True,4,2,3,5,1,6,6,2,4,5,3,1,True,baboons,,
ARIELLE,losange,2,1,2,0,3051,False,5,3,1,6,2,4,2,3,4,6,5,1,True,baboons,,
ARIELLE,square,3,5,5,1,2770,True,4,5,2,3,1,6,5,2,6,3,1,4,True,baboons,,
ARIELLE,rectangle,0,2,5,0,1652,True,4,1,3,2,6,5,5,6,3,2,4,1,True,baboons,,
ARIELLE,parallelogram,2,4,1,0,3250,False,5,4,1,3,6,2,3,5,4,6,1,2,True,baboons,,
ARIELLE,losange,1,2,0,0,2523,False,6,4,5,2,3,1,5,3,2,1,6,4,True,baboons,,
ARIELLE,random,1,3,5,0,3109,True,2,3,4,5,1,6,5,4,6,2,3,1,True,baboons,,
ARIELLE,rightKite,0,2,2,1,2141,False,3,5,1,4,6,2,4,1,3,2,5,6,True,baboons,,
ARIELLE,parallelogram,2,2,5,0,969,False,5,3,4,2,6,1,5,6,3,2,4,1,True,baboons,,
ARIELLE,rectangle,1,3,3,1,2000,True,3,4,6,5,1,2,3,6,1,4,5,2,True,baboons,,
ARIELLE,rustedHinge,0,5,1,0,2012,True,2,1,6,5,3,4,1,6,5,2,4,3,True,baboons,,
ARIELLE,rightKite,1,4,4,1,1691,False,5,3,1,4,6,2,2,5,1,3,6,4,True,baboons,,
ARIELLE,rightKite,3,3,2,0,4281,True,5,4,2,1,3,6,2,6,3,4,1,5,True,baboons,,
ARIELLE,hinge,1,4,0,0,3441,True,1,6,2,5,4,3,2,6,3,4,5,1,True,baboons,,
ARIELLE,parallelogram,2,0,2,0,1398,True,5,6,1,3,2,4,6,1,5,2,4,3,True,baboons,,
ARIELLE,trapezoid,3,1,3,0,2141,True,1,2,5,6,3,4,4,5,2,1,3,6,True,baboons,,
ARIELLE,kite,0,4,0,0,1500,True,1,4,3,5,2,6,2,3,4,6,5,1,True,baboons,,
ARIELLE,isoTrapezoid,3,2,0,0,4109,True,1,3,4,5,2,6,1,6,2,3,4,5,True,baboons,,
ARIELLE,rightKite,2,3,3,1,2141,False,2,4,3,6,5,1,6,4,5,3,1,2,True,baboons,,
ARIELLE,trapezoid,3,3,5,0,1141,False,1,3,4,5,2,6,4,2,5,3,6,1,True,baboons,,
ARIELLE,rightKite,1,1,3,0,3148,True,4,3,2,1,6,5,3,1,4,5,2,6,True,baboons,,
ARIELLE,square,1,5,3,0,3770,False,5,3,2,4,6,1,4,3,2,1,6,5,True,baboons,,
ARIELLE,hinge,0,3,4,0,2828,False,3,6,2,4,1,5,6,4,2,3,1,5,True,baboons,,
ARIELLE,kite,3,2,3,0,3113,False,5,2,4,6,3,1,3,4,2,5,1,6,True,baboons,,
ARIELLE,rustedHinge,1,5,4,0,4910,True,1,3,2,4,6,5,6,1,3,2,5,4,True,baboons,,
ARIELLE,rightKite,0,1,5,0,3129,True,5,2,6,3,4,1,1,2,5,4,6,3,True,baboons,,
ARIELLE,trapezoid,0,3,3,1,2949,True,2,6,5,1,3,4,3,5,1,4,2,6,True,baboons,,
ARIELLE,rectangle,0,2,4,0,840,False,5,3,2,6,1,4,4,1,5,3,2,6,True,baboons,,
